gen,score,h_total,s_total,time,diversity,sa_impact,H_Total,S_Total,H1_Prof,H2_Salle,H3_Grp,H4_Cap,H9_Indisp,S3_Gaps,S4_Lunch,S6_Stab,S8_FreeApm,S10_Sat
1,16122732.5,16,122732.5,76.22500348091125,98.98373983739837,41973301.7875,16,122732.5,0,9,7,0,0,3740,1840,8000,1500,105000
2,4133018.5,4,133018.5,75.8197226524353,96.09756097560975,7195616.2625,4,133018.5,0,2,2,0,0,3680,1760,8200,1400,115000
3,2121788.0,2,121788.0,72.99176669120789,97.11382113821138,655417.125,2,121788.0,0,1,1,0,0,2810,1480,8400,1400,105000
4,106748.5,0,106748.5,76.78136324882507,98.130081300813,300791.3,0,106748.5,0,0,0,0,0,2820,1680,8200,1400,90000
5,86199.0,0,86199.0,74.15223574638367,97.80487804878048,49834.45,0,86199.0,0,0,0,0,0,2780,1600,8200,1200,70000
6,60336.5,0,60336.5,72.18821263313293,99.14634146341463,1341.3,0,60336.5,0,0,0,0,0,2270,1560,7700,1100,45000
7,60336.5,0,60336.5,75.00231790542603,99.0650406504065,451260.6375,0,60336.5,0,0,0,0,0,2270,1560,7700,1100,45000
8,55684.0,0,55684.0,75.74271535873413,95.32520325203254,151727.975,0,55684.0,0,0,0,0,0,2260,1600,7800,1100,40000
9,55684.0,0,55684.0,76.48461270332336,98.130081300813,198573.475,0,55684.0,0,0,0,0,0,2260,1600,7800,1100,40000
10,55398.0,0,55398.0,73.20434880256653,95.52845528455286,298436.0,0,55398.0,0,0,0,0,0,2190,1520,7600,1200,40000
11,49903.5,0,49903.5,73.41897463798523,98.3739837398374,500.85,0,49903.5,0,0,0,0,0,2300,1560,7500,1200,35000
12,44864.5,0,44864.5,72.09536051750183,98.04878048780488,150568.1,0,44864.5,0,0,0,0,0,1880,1480,7600,1200,30000
13,39845.5,0,39845.5,68.71456027030945,98.78048780487806,250761.65,0,39845.5,0,0,0,0,0,2250,1560,7400,1000,25000
14,29770.5,0,29770.5,72.67330956459045,99.4308943089431,52499.725,0,29770.5,0,0,0,0,0,2050,1560,7400,1000,15000
15,24797.0,0,24797.0,70.72841715812683,97.27642276422766,349910.625,0,24797.0,0,0,0,0,0,2160,1560,7500,900,10000
16,19456.0,0,19456.0,68.89341473579407,96.78861788617887,50042.275,0,19456.0,0,0,0,0,0,2140,1600,7300,900,5000
17,19111.0,0,19111.0,71.42663836479187,96.46341463414633,102521.35,0,19111.0,0,0,0,0,0,1820,1480,7300,900,5000
18,18777.5,0,18777.5,71.49144244194031,98.25203252032522,100279.1,0,18777.5,0,0,0,0,0,1950,1520,6900,900,5000
19,18777.5,0,18777.5,74.92089414596558,95.73170731707317,427.6,0,18777.5,0,0,0,0,0,1950,1520,6900,900,5000
20,18732.5,0,18732.5,75.62459540367126,96.13821138211384,297236.875,0,18732.5,0,0,0,0,0,2040,1600,6700,900,5000
21,18523.0,0,18523.0,46.9938542842865,97.23577235772358,271.3375,0,18523.0,0,0,0,0,0,2190,1560,6500,900,5000
22,18473.0,0,18473.0,47.337979793548584,98.29268292682927,22.75,0,18473.0,0,0,0,0,0,2040,1560,6600,900,5000
23,18473.0,0,18473.0,51.53887104988098,97.84552845528454,798710.6625,0,18473.0,0,0,0,0,0,2040,1560,6600,900,5000
24,13438.0,0,13438.0,52.12557673454285,96.7479674796748,151498.65,0,13438.0,0,0,0,0,0,2040,1560,6700,900,0
25,13209.5,0,13209.5,45.30312490463257,96.01626016260163,98786.95,0,13209.5,0,0,0,0,0,2050,1560,6500,1000,0
26,13176.5,0,13176.5,43.40425753593445,96.34146341463415,50791.45,0,13176.5,0,0,0,0,0,2040,1520,6600,1000,0
27,13055.0,0,13055.0,48.956164836883545,99.0650406504065,450113.1,0,13055.0,0,0,0,0,0,2010,1520,6600,1000,0
28,12818.0,0,12818.0,49.83848285675049,97.31707317073169,646260.925,0,12818.0,0,0,0,0,0,1940,1440,6500,1000,0
29,12785.0,0,12785.0,46.65071368217468,96.95121951219512,47955.175,0,12785.0,0,0,0,0,0,1830,1480,6500,900,0
30,12785.0,0,12785.0,51.8021354675293,98.94308943089433,100005.275,0,12785.0,0,0,0,0,0,1830,1480,6500,900,0
31,12745.0,0,12745.0,48.93272638320923,98.739837398374,198929.65,0,12745.0,0,0,0,0,0,1710,1440,6600,900,0
32,12540.0,0,12540.0,47.84829044342041,97.43902439024389,10.25,0,12540.0,0,0,0,0,0,1490,1440,6600,900,0
33,12540.0,0,12540.0,49.66256356239319,95.97560975609755,20.6,0,12540.0,0,0,0,0,0,1490,1440,6600,900,0
34,12383.75,0,12383.75,53.25670838356018,98.17073170731709,7.8125,0,12383.75,0,0,0,0,0,1440,1400,6500,1000,0
35,12283.75,0,12283.75,52.331183433532715,97.60162601626016,48188.1,0,12283.75,0,0,0,0,0,1440,1400,6400,1000,0
36,12235.75,0,12235.75,64.56341528892517,98.86178861788618,149493.625,0,12235.75,0,0,0,0,0,1440,1440,6300,1000,0
37,12235.75,0,12235.75,53.232314586639404,94.0650406504065,0.0,0,12235.75,0,0,0,0,0,1440,1440,6300,1000,0
38,12235.75,0,12235.75,63.157538414001465,97.15447154471546,249072.2,0,12235.75,0,0,0,0,0,1440,1440,6300,1000,0
